theta,gain
20.0,-16.613305694952373
20.1,-22.16321606450461
20.200000000000003,-41.404567441850496
20.3,-24.3845059798113
20.400000000000002,-17.8306390314168
20.5,-14.188648485401195
20.6,-11.67715838021951
20.700000000000003,-9.775753453684608
20.8,-8.259549635003289
20.900000000000002,-7.010695181536327
21.0,-5.959687609392553
21.1,-5.062108419773907
21.200000000000003,-4.287866693034843
21.3,-3.6156594220664715
21.400000000000002,-3.029879650171573
21.5,-2.51877968741141
21.6,-2.0733241622904757
21.700000000000003,-1.6864441258685687
21.8,-1.3525354116166781
21.900000000000002,-1.067111724040501
22.0,-0.8265591332413109
22.1,-0.6279590590529764
22.200000000000003,-0.46895879912162997
22.3,-0.3476759291170737
22.400000000000002,-0.26262746628406575
22.5,-0.2126776374761974
22.6,-0.19700005857084335
