Welcome to SHARC!

         41793450 function calls (41758184 primitive calls) in 87.491 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3813(<lambda>)
        7    0.000    0.000    0.000    0.000 parse.py:841(__getattr__)
        1    0.000    0.000    0.000    0.000 case.py:1365(FunctionTestCase)
        1    0.000    0.000    0.000    0.000 _elffile.py:39(ELFFile)
       13    0.000    0.000    0.000    0.000 inference.py:105(is_file_like)
        1    0.000    0.000    0.000    0.000 parameters_antenna_imt.py:16(ParametersAntennaImt)
        1    0.000    0.000    0.000    0.000 emitter.py:31(Emitter)
        2    0.000    0.000    0.000    0.000 enum.py:1677(global_enum)
        1    0.000    0.000    0.000    0.000 _misc.py:608(_Options)
        1    0.000    0.000    0.000    0.000 apply.py:1134(FrameRowApply)
       16    0.000    0.000    0.000    0.000 arraypad.py:58(_view_roi)
       29    0.000    0.000    0.000    0.000 typing.py:2846(_namedtuple_mro_entries)
        1    0.000    0.000    0.000    0.000 tz.py:41(tzutc)
       26    0.000    0.000    0.000    0.000 base.py:7593(ensure_index)
        2    0.000    0.000    0.000    0.000 _procrustes.py:1(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method _csv.register_dialect}
       10    0.000    0.000    0.000    0.000 random.py:242(_randbelow_with_getrandbits)
        1    0.000    0.000    0.000    0.000 loader.py:22(_FailedTest)
       13    0.000    0.000    0.000    0.000 {built-in method _codecs.lookup}
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3473(erlang_gen)
        7    0.000    0.000    0.000    0.000 legend_handler.py:171(__init__)
       32    0.000    0.000    0.000    0.000 arraypad.py:33(_slice_at_axis)
        1    0.000    0.000    0.000    0.000 _factories.py:26(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:442(LibraryLoader)
       13    0.000    0.000    0.000    0.000 managers.py:1772(_consolidate_check)
        1    0.000    0.000    0.000    0.000 _tester.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cbook.py:120(CallbackRegistry)
       13    0.000    0.000    0.000    0.000 csvs.py:174(_initialize_chunksize)
        3    0.000    0.000    0.000    0.000 shutil.py:224(_stat)
        2    0.000    0.000    0.000    0.000 textwrap.py:143(_munge_whitespace)
        1    0.000    0.000    0.000    0.000 grouper.py:66(Grouper)
        1    0.000    0.000    0.000    0.000 argparse.py:1374(_ActionsContainer)
        6    0.000    0.000    0.000    0.000 deprecation.py:239(__init__)
        1    0.000    0.000    0.000    0.000 _openpyxl.py:40(OpenpyxlWriter)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        1    0.000    0.000    0.000    0.000 tz.py:132(tzoffset)
        1    0.000    0.000    0.000    0.000 tempfile.py:224(_infer_return_type)
       26    0.000    0.000    0.000    0.000 format.py:626(_is_in_terminal)
       31    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
        6    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
        1    0.000    0.000    0.000    0.000 _qmvnt.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _dia.py:18(_dia_base)
        1    0.000    0.000    0.000    0.000 base.py:65(DataManager)
       13    0.000    0.000    0.000    0.000 blocks.py:214(is_extension)
        1    0.000    0.000    0.000    0.000 collections.py:1302(RegularPolyCollection)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:95(take)
       13    0.000    0.000    0.000    0.000 {method 'endswith' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 testing.py:124(TestParseResultsAsserts)
        1    0.000    0.000    0.000    0.000 parameters_imt.py:76(<lambda>)
        1    0.000    0.000    0.000    0.000 difflib.py:1666(HtmlDiff)
        2    0.000    0.000    0.000    0.000 core.py:3681(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method posix.unsetenv}
       13    0.000    0.000    0.000    0.000 <frozen os>:766(decode)
        5    0.000    0.000    0.000    0.000 rcsetup.py:212(_validate_pathlike)
        1    0.000    0.000    0.000    0.000 sql.py:2642(SQLiteDatabase)
        4    0.000    0.000    0.000    0.000 legend_handler.py:214(__init__)
       18    0.000    0.000    0.000    0.000 enum.py:828(__members__)
        1    0.000    0.000    0.000    0.000 dviread.py:831(PsfontsMap)
       13    0.000    0.000    0.000    0.000 generic.py:592(_get_block_manager_axis)
        8    0.000    0.000    0.000    0.000 functools.py:845(_is_valid_dispatch_type)
       16    0.000    0.000    0.000    0.000 deprecation.py:181(_deprecate_positional_args)
        1    0.000    0.000    0.000    0.000 _csc.py:17(_csc_base)
        7    0.000    0.000    0.000    0.000 core.py:2544(_arraymethod)
        1    0.000    0.000    0.000    0.000 indexing.py:725(_LocationIndexer)
        1    0.000    0.000    0.000    0.000 apply.py:1240(FrameColumnApply)
        1    0.000    0.000    0.000    0.000 rk.py:183(RK23)
       33    0.000    0.000    0.000    0.000 fromnumeric.py:3176(ndim)
        1    0.000    0.000    0.000    0.000 _tzpath.py:36(_parse_python_tzpath)
        1    0.000    0.000    0.000    0.000 blocks.py:164(maybe_split)
        1    0.000    0.000    0.000    0.000 uuid.py:85(UUID)
        1    0.000    0.000    0.000    0.000 datetimelike_accumulations.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _csr.py:18(_csr_base)
        1    0.000    0.000    0.000    0.000 collections.py:1768(EllipseCollection)
        2    0.000    0.000    0.000    0.000 contextlib.py:548(_push_exit_callback)
        1    0.000    0.000    0.000    0.000 base.py:501(Registry)
        1    0.000    0.000    0.000    0.000 managers.py:903(BlockManager)
        1    0.000    0.000    0.000    0.000 art3d.py:183(Line3D)
        1    0.000    0.000    0.000    0.000 qp_subproblem.py:1(<module>)
       60    0.000    0.000    0.000    0.000 <frozen codecs>:331(getstate)
        1    0.000    0.000    0.000    0.000 __init__.py:919(Handler)
       55    0.000    0.000    0.000    0.000 colors.py:404(<genexpr>)
       11    0.000    0.000    0.000    0.000 model.py:118(is_finished)
        1    0.000    0.000    0.000    0.000 base.py:181(SelectionMixin)
       57    0.000    0.000    0.000    0.000 __init__.py:152(<genexpr>)
       19    0.000    0.000    0.000    0.000 representer.py:65(add_representer)
        3    0.000    0.000    0.000    0.000 core.py:4963(_generateDefaultName)
        2    0.000    0.000    0.000    0.000 charset.py:206(__init__)
      134    0.000    0.000    0.000    0.000 six.py:93(__init__)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:10235(uniform_gen)
        1    0.000    0.000    0.000    0.000 _trustregion_exact.py:186(IterativeSubproblem)
       26    0.000    0.000    0.000    0.000 construction.py:758(_maybe_repeat)
       11    0.000    0.000    0.000    0.000 threading.py:124(RLock)
       64    0.000    0.000    0.000    0.000 _decorators.py:437(__init__)
       28    0.000    0.000    0.000    0.000 cbook.py:1851(_str_equal)
       21    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       13    0.000    0.000    0.000    0.000 blocks.py:1253(iget)
        8    0.000    0.000    0.000    0.000 rrule.py:77(<genexpr>)
        1    0.000    0.000    0.000    0.000 unicode.py:31(unicode_set)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:54(_get_platform_and_machine)
       16    0.000    0.000    0.000    0.000 {method 'round' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 core.py:5823(__init__)
        2    0.000    0.000    0.000    0.000 threading.py:588(__init__)
        1    0.000    0.000    0.000    0.000 main.py:57(TestProgram)
        1    0.000    0.000    0.000    0.000 dviread.py:1033(_LuatexKpsewhich)
        5    0.000    0.000    0.000    0.000 __init__.py:668(usesTime)
        1    0.000    0.000    0.000    0.000 pytables.py:485(HDFStore)
        1    0.000    0.000    0.000    0.000 parameters_fss_ss.py:9(ParametersFssSs)
        1    0.000    0.000    0.000    0.000 tempfile.py:824(SpooledTemporaryFile)
       13    0.000    0.000    0.000    0.000 base.py:609(_dtype_to_subclass)
       35    0.000    0.000    0.000    0.000 __init__.py:811(__init__)
        1    0.000    0.000    0.000    0.000 _extract.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <frozen genericpath>:106(samefile)
        1    0.000    0.000    0.000    0.000 crs.py:1640(CustomConstructorCRS)
        1    0.000    0.000    0.000    0.000 subprocess.py:695(_use_posix_spawn)
        9    0.000    0.000    0.000    0.000 __init__.py:183(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:1482(Logger)
        3    0.000    0.000    0.000    0.000 blas.py:259(find_best_blas_type)
        1    0.000    0.000    0.000    0.000 pytables.py:2359(DataCol)
       32    0.000    0.000    0.000    0.000 arraypad.py:109(<genexpr>)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
        1    0.000    0.000    0.000    0.000 getopt.py:56(getopt)
        1    0.000    0.000    0.000    0.000 __init__.py:21(__deprecated_private_func)
        7    0.000    0.000    0.000    0.000 __init__.py:277(_validate_scale)
       13    0.000    0.000    0.000    0.000 enum.py:117(_iter_bits_lsb)
        1    0.000    0.000    0.000    0.000 __init__.py:646(levy_stable_gen)
        1    0.000    0.000    0.000    0.000 masked_reductions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 crs.py:655(Projection)
        3    0.000    0.000    0.000    0.000 parameters_antenna.py:59(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:1117(StreamHandler)
        2    0.000    0.000    0.000    0.000 tags.py:494(platform_tags)
       57    0.000    0.000    0.000    0.000 __init__.py:265(<genexpr>)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:9(Gcf)
        1    0.000    0.000    0.000    0.000 object_array.py:35(ObjectStringArrayMixin)
        1    0.000    0.000    0.000    0.000 queue.py:28(Queue)
        1    0.000    0.000    0.000    0.000 subprocess.py:1092(__exit__)
       17    0.000    0.000    0.000    0.000 inspect.py:2824(__hash__)
        1    0.000    0.000    0.000    0.000 core.py:4787(__init__)
        4    0.000    0.000    0.000    0.000 function_base.py:1804(trim_zeros)
        1    0.000    0.000    0.000    0.000 pathlib.py:1061(_scandir)
        1    0.000    0.000    0.000    0.000 rcsetup.py:256(_validate_toolbar)
       19    0.000    0.000    0.000    0.000 datetimes.py:124(_field_accessor)
        1    0.000    0.000    0.000    0.000 socket.py:664(SocketIO)
        3    0.000    0.000    0.000    0.000 legend_handler.py:433(__init__)
       32    0.000    0.000    0.000    0.000 arraypad.py:120(<genexpr>)
        1    0.000    0.000    0.000    0.000 platform.py:842(uname_result)
        1    0.000    0.000    0.000    0.000 _backend.py:51(set_global_backend)
        8    0.000    0.000    0.000    0.000 <frozen os>:824(fsdecode)
       20    0.000    0.000    0.000    0.000 enum.py:1692(_simple_enum)
        1    0.000    0.000    0.000    0.000 rcsetup.py:286(_validate_color_or_linecolor)
       67    0.000    0.000    0.000    0.000 {built-in method _operator.index}
       34    0.000    0.000    0.000    0.000 invalid.py:44(make_invalid_op)
        1    0.000    0.000    0.000    0.000 multi.py:208(names_compat)
        1    0.000    0.000    0.000    0.000 dtypes.py:1610(SparseDtype)
        1    0.000    0.000    0.000    0.000 art3d.py:76(Text3D)
        1    0.000    0.000    0.000    0.000 getlimits.py:612(tiny)
        5    0.000    0.000    0.000    0.000 deprecation.py:350(<genexpr>)
        1    0.000    0.000    0.000    0.000 _rgi.py:49(RegularGridInterpolator)
        1    0.000    0.000    0.000    0.000 _index.py:25(IndexMixin)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:441(_setdef)
        1    0.000    0.000    0.000    0.000 _json.py:818(JsonReader)
        1    0.000    0.000    0.000    0.000 axis.py:2527(YAxis)
        1    0.000    0.000    0.000    0.000 request.py:313(Request)
        1    0.000    0.000    0.000    0.000 _common.py:21(package_to_anchor)
        1    0.000    0.000    0.000    0.000 array_manager.py:101(BaseArrayManager)
        1    0.000    0.000    0.000    0.000 base.py:264(_maybe_return_indexers)
        1    0.000    0.000    0.000    0.000 traceback.py:374(StackSummary)
       19    0.000    0.000    0.000    0.000 _decorators.py:258(future_version_msg)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
        1    0.000    0.000    0.000    0.000 offsets.py:1(<module>)
        1    0.000    0.000    0.000    0.000 simulation.py:25(Simulation)
        1    0.000    0.000    0.000    0.000 dtypes.py:2046(ArrowDtype)
        1    0.000    0.000    0.000    0.000 polar.py:804(PolarAxes)
        1    0.000    0.000    0.000    0.000 selectors.py:209(__init__)
        1    0.000    0.000    0.000    0.000 format.py:415(DataFrameFormatter)
        2    0.000    0.000    0.000    0.000 numeric.py:1330(normalize_axis_tuple)
       20    0.000    0.000    0.000    0.000 shape_base.py:1267(<genexpr>)
       74    0.000    0.000    0.000    0.000 pathlib.py:560(root)
        5    0.000    0.000    0.000    0.000 _parser.py:1004(addliteral)
        1    0.000    0.000    0.000    0.000 calendar.py:94(_localized_month)
       13    0.000    0.000    0.000    0.000 typing.py:966(_is_typevar_like)
        1    0.000    0.000    0.000    0.000 index_tricks.py:310(AxisConcatenator)
        5    0.000    0.000    0.000    0.000 weakref.py:510(update)
        1    0.000    0.000    0.000    0.000 _strptime.py:30(LocaleTime)
       17    0.000    0.000    0.000    0.000 crs.py:350(_crs)
        1    0.000    0.000    0.000    0.000 sql.py:2089(ADBCDatabase)
        1    0.000    0.000    0.000    0.000 records.py:223(record)
       13    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        2    0.000    0.000    0.000    0.000 types.py:97(prepare_class)
        1    0.000    0.000    0.000    0.000 _base.py:927(ExcelWriter)
        1    0.000    0.000    0.000    0.000 csvs.py:56(CSVFormatter)
        1    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:1867(__init__)
        1    0.000    0.000    0.000    0.000 boolean.py:239(BooleanArray)
       15    0.000    0.000    0.000    0.000 ssl.py:938(_sslcopydoc)
       19    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
        1    0.000    0.000    0.000    0.000 ImageChops.py:1(<module>)
        2    0.000    0.000    0.000    0.000 decoder.py:284(__init__)
        1    0.000    0.000    0.000    0.000 align.py:68(_filter_special_cases)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:4690(invgauss_gen)
        1    0.000    0.000    0.000    0.000 pytables.py:2674(Fixed)
        1    0.000    0.000    0.000    0.000 _ranges.py:1(<module>)
        1    0.000    0.000    0.000    0.000 grouper.py:488(Grouping)
        1    0.000    0.000    0.000    0.000 _exceptions.py:38(_UFuncNoLoopError)
        1    0.000    0.000    0.000    0.000 _distn_infrastructure.py:629(rv_generic)
        1    0.000    0.000    0.000    0.000 widgets.py:3210(RectangleSelector)
        1    0.000    0.000    0.000    0.000 {built-in method posix.cpu_count}
        1    0.000    0.000    0.000    0.000 _secondary_axes.py:11(SecondaryAxis)
        1    0.000    0.000    0.000    0.000 __init__.py:1266(ZipFile)
        5    0.000    0.000    0.000    0.000 <frozen genericpath>:133(_splitext)
        1    0.000    0.000    0.000    0.000 _mathtext.py:434(BakomaFonts)
       28    0.000    0.000    0.000    0.000 core.py:696(<genexpr>)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
        1    0.000    0.000    0.000    0.000 dataframe_protocol.py:174(Column)
       28    0.000    0.000    0.000    0.000 crs.py:124(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:503(StringTemplateStyle)
        2    0.000    0.000    0.000    0.000 _parser.py:1012(addgroup)
        1    0.000    0.000    0.000    0.000 tz.py:1545(__init__)
        1    0.000    0.000    0.000    0.000 py3k.py:92(contextlib_nullcontext)
       13    0.000    0.000    0.000    0.000 common.py:1270(is_1d_only_ea_dtype)
        1    0.000    0.000    0.000    0.000 managers.py:1825(SingleBlockManager)
        1    0.000    0.000    0.000    0.000 statistics.py:1236(NormalDist)
        1    0.000    0.000    0.000    0.000 {built-in method today}
        1    0.000    0.000    0.000    0.000 _stats_py.py:9732(QuantileTestResult)
        1    0.000    0.000    0.000    0.000 info.py:841(_TableBuilderVerboseMixin)
       56    0.000    0.000    0.000    0.000 accessors.py:169(<lambda>)
        2    0.000    0.000    0.000    0.000 <frozen genericpath>:39(isdir)
        1    0.000    0.000    0.000    0.000 rolling.py:120(BaseWindow)
       16    0.000    0.000    0.000    0.000 typing.py:2867(<genexpr>)
       13    0.000    0.000    0.000    0.000 format.py:550(_initialize_columns)
        1    0.000    0.000    0.000    0.000 python_parser.py:71(PythonParser)
        1    0.000    0.000    0.000    0.000 utils.py:2498(_get_glibc_version)
        1    0.000    0.000    0.000    0.000 ops.py:75(Term)
        1    0.000    0.000    0.000    0.000 _odswriter.py:31(ODSWriter)
        1    0.000    0.000    0.000    0.000 {built-in method time.gmtime}
        1    0.000    0.000    0.000    0.000 string.py:188(Formatter)
       11    0.000    0.000    0.000    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
        1    0.000    0.000    0.000    0.000 axis3d.py:732(XAxis)
       33    0.000    0.000    0.000    0.000 core.py:4563(recurse)
        1    0.000    0.000    0.000    0.000 core.py:5260(SkipTo)
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:388(__subclasshook__)
       13    0.000    0.000    0.000    0.000 flags.py:87(allows_duplicate_labels)
       20    0.000    0.000    0.000    0.000 inspect.py:3082(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:1353(Manager)
        1    0.000    0.000    0.000    0.000 _pade.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _fitpack2.py:71(UnivariateSpline)
        5    0.000    0.000    0.000    0.000 weakref.py:495(popitem)
        7    0.000    0.000    0.000    0.000 __init__.py:73(__init__)
        1    0.000    0.000    0.000    0.000 accessor.py:234(SparseFrameAccessor)
        1    0.000    0.000    0.000    0.000 random.py:110(Random)
        1    0.000    0.000    0.000    0.000 _factories.py:56(__init__)
        1    0.000    0.000    0.000    0.000 stata.py:2250(StataWriter)
        2    0.000    0.000    0.000    0.000 numerictypes.py:229(obj2sctype)
        1    0.000    0.000    0.000    0.000 _bsplines.py:68(BSpline)
        5    0.000    0.000    0.000    0.000 core.py:6033(token_map)
        6    0.000    0.000    0.000    0.000 numerictypes.py:283(issubclass_)
        1    0.000    0.000    0.000    0.000 _matfuncs.py:337(_ExpmPadeHelper)
       22    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
        1    0.000    0.000    0.000    0.000 parser.py:72(Parser)
        1    0.000    0.000    0.000    0.000 {method 'take' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 _multivariate.py:3041(invwishart_frozen)
        6    0.000    0.000    0.000    0.000 six.py:131(__init__)
        1    0.000    0.000    0.000    0.000 _survival.py:20(EmpiricalDistributionFunction)
        1    0.000    0.000    0.000    0.000 errors.py:7(setup_signal_checks)
       12    0.000    0.000    0.000    0.000 parser.py:81(__init__)
       13    0.000    0.000    0.000    0.000 indexing.py:161(iloc)
        1    0.000    0.000    0.000    0.000 _common.py:80(_)
        1    0.000    0.000    0.000    0.000 ssl.py:783(SSLObject)
        2    0.000    0.000    0.000    0.000 expr.py:127(_compose)
       46    0.000    0.000    0.000    0.000 core.py:4266(<genexpr>)
       13    0.000    0.000    0.000    0.000 indexing.py:1165(_check_deprecated_callable_usage)
       25    0.000    0.000    0.000    0.000 __init__.py:348(<genexpr>)
        4    0.000    0.000    0.000    0.000 locale.py:381(normalize)
       92    0.000    0.000    0.000    0.000 accessor.py:141(<lambda>)
        1    0.000    0.000    0.000    0.000 {built-in method posix.scandir}
        1    0.000    0.000    0.000    0.000 subprocess.py:1961(_handle_exitstatus)
        1    0.000    0.000    0.000    0.000 _typing.py:122(SequenceNotStr)
        1    0.000    0.000    0.000    0.000 gridspec.py:531(SubplotSpec)
        2    0.000    0.000    0.000    0.000 parameters_antenna.py:78(validate)
        1    0.000    0.000    0.000    0.000 _multivariate.py:5354(random_table_gen)
       39    0.000    0.000    0.000    0.000 core.py:4031(<genexpr>)
       17    0.000    0.000    0.000    0.000 results.py:260(__iter__)
        1    0.000    0.000    0.000    0.000 tz.py:482(_set_tzdata)
        1    0.000    0.000    0.000    0.000 platform.py:1015(machine)
        1    0.000    0.000    0.000    0.000 functools.py:861(<lambda>)
        1    0.000    0.000    0.000    0.000 selectors.py:80(BaseSelector)
        2    0.000    0.000    0.000    0.000 tags.py:114(_get_config_var)
        1    0.000    0.000    0.000    0.000 getlimits.py:589(smallest_normal)
        1    0.000    0.000    0.000    0.000 figure.py:2149(SubFigure)
        1    0.000    0.000    0.000    0.000 ast.py:78(_convert_signed_num)
        1    0.000    0.000    0.000    0.000 suite.py:92(TestSuite)
        2    0.000    0.000    0.000    0.000 contextlib.py:477(_exit_wrapper)
        1    0.000    0.000    0.000    0.000 integer.py:16(IntegerDtype)
       78    0.000    0.000    0.000    0.000 signal.py:16(<lambda>)
       12    0.000    0.000    0.000    0.000 period.py:108(_field_accessor)
        1    0.000    0.000    0.000    0.000 _differentialevolution.py:507(DifferentialEvolutionSolver)
        1    0.000    0.000    0.000    0.000 collections.py:961(_CollectionWithSizes)
        1    0.000    0.000    0.000    0.000 parameters_space_station.py:8(ParametersSpaceStation)
       12    0.000    0.000    0.000    0.000 legend_handler.py:62(__init__)
        1    0.000    0.000    0.000    0.000 relativedelta.py:18(relativedelta)
        1    0.000    0.000    0.000    0.000 frequencies.py:159(_FrequencyInferer)
        1    0.000    0.000    0.000    0.000 sql.py:1443(PandasSQL)
        1    0.000    0.000    0.000    0.000 _interpolate.py:390(interp1d)
        1    0.000    0.000    0.000    0.000 _print_versions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _testutils.py:117(_TestPythranFunc)
        1    0.000    0.000    0.000    0.000 array_manager.py:1068(SingleArrayManager)
        1    0.000    0.000    0.000    0.000 datetimelike.py:1737(DatelikeOps)
        1    0.000    0.000    0.000    0.000 _internal.py:249(_ctypes)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha1}
       67    0.000    0.000    0.000    0.000 dataclasses.py:879(_hash_set_none)
        1    0.000    0.000    0.000    0.000 textpath.py:26(__init__)
        1    0.000    0.000    0.000    0.000 decorator.py:65(FunctionMaker)
        1    0.000    0.000    0.000    0.000 replace.py:1(<module>)
       17    0.000    0.000    0.000    0.000 enum.py:467(<genexpr>)
        1    0.000    0.000    0.000    0.000 results.py:25(Results)
       46    0.000    0.000    0.000    0.000 <frozen codecs>:260(__init__)
       28    0.000    0.000    0.000    0.000 typing.py:1971(<genexpr>)
        1    0.000    0.000    0.000    0.000 axis.py:2289(XAxis)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:6617(maxwell_gen)
       79    0.000    0.000    0.000    0.000 signal.py:21(<lambda>)
        1    0.000    0.000    0.000    0.000 apply.py:118(Apply)
        4    0.000    0.000    0.000    0.000 parameters_antenna_s1528.py:83(validate)
        1    0.000    0.000    0.000    0.000 selectors.py:206(_BaseSelectorImpl)
       13    0.000    0.000    0.000    0.000 construction.py:196(mgr_to_mgr)
       23    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       74    0.000    0.000    0.000    0.000 util.py:203(no_escape_re_range_char)
        1    0.000    0.000    0.000    0.000 core.py:2743(Word)
       13    0.000    0.000    0.000    0.000 common.py:372(apply_if_callable)
       40    0.000    0.000    0.000    0.000 function_base.py:5559(_append_dispatcher)
        1    0.000    0.000    0.000    0.000 utils.py:2004(suppress_warnings)
        2    0.000    0.000    0.000    0.000 matfuncs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 rk.py:407(DOP853)
        1    0.000    0.000    0.000    0.000 _distn_infrastructure.py:1602(rv_continuous)
        1    0.000    0.000    0.000    0.000 client.py:817(HTTPConnection)
       13    0.000    0.000    0.000    0.000 base.py:540(<genexpr>)
        4    0.000    0.000    0.000    0.000 {method 'fileno' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 arrayprint.py:1367(StructuredVoidFormat)
       34    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
       10    0.000    0.000    0.000    0.000 _text.py:90(lower)
       23    0.000    0.000    0.000    0.000 config.py:849(inner)
       13    0.000    0.000    0.000    0.000 csvs.py:204(nlevels)
       16    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:79(<genexpr>)
        1    0.000    0.000    0.000    0.000 _utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 weakref.py:164(__setitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:776(MetadataPathFinder)
        1    0.000    0.000    0.000    0.000 legend_handler.py:633(__init__)
        1    0.000    0.000    0.000    0.000 six.py:236(create_module)
        1    0.000    0.000    0.000    0.000 pytables.py:2034(IndexCol)
        1    0.000    0.000    0.000    0.000 tz.py:381(__init__)
        1    0.000    0.000    0.000    0.000 _censored_data.py:60(CensoredData)
        1    0.000    0.000    0.000    0.000 _sampling.py:423(FastGeneratorInversion)
        1    0.000    0.000    0.000    0.000 timedeltas.py:38(TimedeltaIndex)
        4    0.000    0.000    0.000    0.000 mixins.py:51(_unary_method)
       42    0.000    0.000    0.000    0.000 <frozen _collections_abc>:435(__subclasshook__)
        1    0.000    0.000    0.000    0.000 pytables.py:2846(GenericFixed)
        1    0.000    0.000    0.000    0.000 parameters_eess_ss.py:7(ParametersEessSS)
        1    0.000    0.000    0.000    0.000 core.py:93(__compat__)
       10    0.000    0.000    0.000    0.000 core.py:3685(parseImpl)
        1    0.000    0.000    0.000    0.000 array_manager.py:599(ArrayManager)
        1    0.000    0.000    0.000    0.000 core.py:3664(__init__)
        1    0.000    0.000    0.000    0.000 _finite_differences.py:1(<module>)
        1    0.000    0.000    0.000    0.000 colors.py:665(Colormap)
        1    0.000    0.000    0.000    0.000 selectors.py:202(__exit__)
       12    0.000    0.000    0.000    0.000 {method 'islower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 core.py:5076(ZeroOrMore)
        1    0.000    0.000    0.000    0.000 colors.py:1216(Normalize)
        1    0.000    0.000    0.000    0.000 __init__.py:189(Path)
        1    0.000    0.000    0.000    0.000 backend_bases.py:3225(ToolContainerBase)
        5    0.000    0.000    0.000    0.000 _policybase.py:104(<genexpr>)
        1    0.000    0.000    0.000    0.000 _distn_infrastructure.py:458(rv_frozen)
        1    0.000    0.000    0.000    0.000 traceback.py:248(FrameSummary)
        4    0.000    0.000    0.000    0.000 getlimits.py:696(min)
        1    0.000    0.000    0.000    0.000 getlimits.py:32(MachArLike)
        1    0.000    0.000    0.000    0.000 cm.py:390(ScalarMappable)
        1    0.000    0.000    0.000    0.000 abc.py:16(ResourceReader)
        1    0.000    0.000    0.000    0.000 widgets.py:2177(_SelectorWidget)
       26    0.000    0.000    0.000    0.000 generic.py:572(_get_axis_number)
        1    0.000    0.000    0.000    0.000 socketserver.py:155(BaseServer)
        1    0.000    0.000    0.000    0.000 _interpolate.py:1486(BPoly)
        1    0.000    0.000    0.000    0.000 representer.py:13(BaseRepresenter)
        1    0.000    0.000    0.000    0.000 client.py:252(HTTPResponse)
        1    0.000    0.000    0.000    0.000 _covariance.py:11(Covariance)
        1    0.000    0.000    0.000    0.000 art3d.py:844(Poly3DCollection)
        5    0.000    0.000    0.000    0.000 __init__.py:447(usesTime)
       16    0.000    0.000    0.000    0.000 take.py:352(_view_wrapper)
        1    0.000    0.000    0.000    0.000 _linprog_simplex.py:1(<module>)
       19    0.000    0.000    0.000    0.000 _decorators.py:266(deprecate_nonkeyword_arguments)
        1    0.000    0.000    0.000    0.000 stata.py:3204(StataWriter117)
        1    0.000    0.000    0.000    0.000 crs.py:127(CRS)
        1    0.000    0.000    0.000    0.000 _exceptions.py:56(_UFuncBinaryResolutionError)
        1    0.000    0.000    0.000    0.000 loader.py:74(__init__)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1090(TimerBase)
        1    0.000    0.000    0.000    0.000 constructor.py:19(BaseConstructor)
        1    0.000    0.000    0.000    0.000 legend_handler.py:361(HandlerStepPatch)
