Welcome to SHARC!

         41793450 function calls (41758184 primitive calls) in 87.491 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.079    0.079 contour.py:1(<module>)
    27/25    0.000    0.000    0.079    0.003 __init__.py:132(__getattr__)
1419/1415    0.002    0.000    0.078    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
     2660    0.050    0.000    0.077    0.000 topology_imt_mss_dc.py:277(transform_ue_xyz)
        1    0.001    0.001    0.077    0.077 results.py:165(write_files)
    16010    0.013    0.000    0.075    0.000 fromnumeric.py:2100(clip)
     7790    0.006    0.000    0.072    0.000 __init__.py:280(_compile)
        1    0.000    0.000    0.072    0.072 backend_bases.py:1(<module>)
     1507    0.001    0.000    0.071    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
     1507    0.003    0.000    0.070    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
571271/569539    0.068    0.000    0.068    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.067    0.067 orbit_model.py:1(<module>)
       13    0.000    0.000    0.067    0.005 _decorators.py:325(wrapper)
       13    0.000    0.000    0.067    0.005 generic.py:3797(to_csv)
        1    0.000    0.000    0.066    0.066 custom_functions.py:1(<module>)
       13    0.000    0.000    0.066    0.005 format.py:965(to_csv)
       13    0.000    0.000    0.065    0.005 csvs.py:246(save)
    10640    0.010    0.000    0.064    0.000 fromnumeric.py:2979(prod)
        1    0.000    0.000    0.064    0.064 text.py:1(<module>)
        2    0.000    0.000    0.063    0.032 crs.py:1(<module>)
       13    0.000    0.000    0.063    0.005 csvs.py:272(_save)
        2    0.000    0.000    0.063    0.031 parameters_single_earth_station.py:190(load_parameters_from_file)
       13    0.001    0.000    0.062    0.005 csvs.py:305(_save_body)
       13    0.024    0.002    0.061    0.005 csvs.py:315(_save_chunk)
      281    0.001    0.000    0.061    0.000 _compiler.py:740(compile)
     2158    0.016    0.000    0.061    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
  175/137    0.000    0.000    0.060    0.000 <frozen importlib._bootstrap_external>:1295(exec_module)
  175/137    0.022    0.000    0.059    0.000 {built-in method _imp.exec_dynamic}
    21346    0.024    0.000    0.059    0.000 _ufunc_config.py:33(seterr)
      413    0.021    0.000    0.058    0.000 doccer.py:13(docformat)
      223    0.000    0.000    0.056    0.000 artist.py:1422(__init__)
     2640    0.002    0.000    0.055    0.000 scanner.py:668(fetch_plain)
        1    0.000    0.000    0.055    0.055 _orthogonal.py:1(<module>)
      223    0.017    0.000    0.055    0.000 artist.py:1442(get_aliases)
      128    0.001    0.000    0.054    0.000 _distn_infrastructure.py:782(_construct_doc)
     1299    0.001    0.000    0.054    0.000 inspect.py:3308(signature)
     1299    0.001    0.000    0.053    0.000 inspect.py:3050(from_callable)
       11    0.008    0.001    0.053    0.005 topology_imt_mss_dc.py:76(calculate_coordinates)
        1    0.000    0.000    0.052    0.052 collections.py:1(<module>)
1887/1303    0.008    0.000    0.052    0.000 inspect.py:2470(_signature_from_callable)
        1    0.000    0.000    0.051    0.051 frame.py:1(<module>)
        1    0.000    0.000    0.051    0.051 _support_alternative_backends.py:1(<module>)
        1    0.000    0.000    0.050    0.050 rcsetup.py:1(<module>)
      175    0.000    0.000    0.050    0.000 <frozen importlib._bootstrap_external>:1287(create_module)
        1    0.000    0.000    0.049    0.049 _array_api.py:1(<module>)
     2640    0.014    0.000    0.048    0.000 scanner.py:1270(scan_plain)
      175    0.041    0.000    0.048    0.000 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.048    0.048 _axes.py:1(<module>)
